Time CPU_mW GPU_mW Total_mW
10120 9386 101 9488
10130 11545 49 11594
10140 10417 113 10530
10150 7864 60 7923
10160 5939 0 5939
10170 8660 0 8660
10180 8913 73 8986
10190 11074 68 11141
10200 7666 121 7786
10210 10272 128 10400
10220 8343 235 8578
10230 8595 128 8723
10240 9196 130 9327
10250 7457 185 7642
10260 8450 0 8450
10270 10016 0 10016
10280 10802 117 10918
10290 11481 0 11481
10300 10237 0 10237
10310 12016 0 12016
10320 12174 0 12174
10330 11576 0 11576
10340 9894 0 9894
10350 10169 0 10169
10360 7007 0 7007
10370 7030 0 7030
10380 7557 0 7557
10390 9119 0 9119
10400 9030 0 9030
10410 9460 0 9460
10420 7839 0 7839
10430 8255 0 8255
10440 8519 0 8519
10450 9760 0 9760
10460 8777 0 8777
10470 10596 0 10596
10480 7902 0 7902
10490 6462 0 6462
10500 9856 0 9856
10510 7107 0 7107
10520 5540 0 5540
10530 6008 0 6008
10540 9047 0 9047
10550 8890 0 8890
10560 7849 0 7849
10570 8753 0 8753
10580 7390 0 7390
10590 6138 0 6138
10600 6360 0 6360
10610 6783 0 6783
10620 8813 0 8813
10630 6515 0 6515
10640 6520 0 6520
10650 7235 50 7285
10660 6857 0 6857
10670 11422 0 11422
10680 13920 0 13920
10690 13172 0 13172
10700 12650 0 12650
10710 11729 339 12068
10720 13096 400 13496
10730 11712 113 11824
10740 11800 119 11920
10750 11296 121 11418
10760 12907 59 12966
10770 13029 287 13316
10780 14015 57 14073
10790 11632 59 11691
10800 12978 64 13042
10810 12472 62 12534
10820 13613 58 13672
10830 13410 58 13467
10840 14300 0 14300
10850 13416 62 13478
10860 11339 0 11339
10870 13135 0 13135
10880 14099 0 14099
10890 14384 0 14384
10900 12430 0 12430
10910 13804 0 13804
10920 13332 0 13332
10930 14362 0 14362
10940 14138 0 14138
10950 14065 0 14065
10960 14220 0 14220
10970 14304 0 14304
10980 14419 0 14419
10990 14091 0 14091
11000 14215 0 14215
11010 14980 0 14980
11020 12580 0 12580
11030 12999 0 12999
11040 14039 0 14039
11050 11887 0 11887
11060 14244 197 14441
11070 10517 0 10517
11080 9800 0 9800
11090 9192 0 9192
11100 9080 0 9080
11110 8747 0 8747
11120 12628 0 12628
11130 14574 0 14574
11140 11608 0 11608
11150 14937 0 14937
11160 15284 0 15284
11170 13777 0 13777
11180 13596 0 13596
11190 16650 0 16650
11200 15787 0 15787
11210 13448 0 13448
11220 12873 0 12873
11230 12852 0 12852
11240 12826 0 12826
11250 9304 236 9540
11260 9766 0 9766
11270 10067 0 10067
11280 9691 0 9691
11290 9032 0 9032
11300 9368 0 9368
11310 9709 0 9709
11320 9147 0 9147
11330 8664 0 8664
11340 8986 0 8986
11350 10294 0 10294
11360 9721 0 9721
11370 9579 0 9579
11380 9766 0 9766
11390 10442 460 10902
11400 11015 0 11015
11410 11340 0 11340
11420 10578 0 10578
11430 11520 0 11520
11440 11000 0 11000
11450 10345 0 10345
11460 11640 0 11640
11470 9733 0 9733
11480 9771 0 9771
11490 11192 0 11192
11500 9732 0 9732
11510 9673 0 9673
11520 10895 0 10895
11530 9893 0 9893
11540 9635 0 9635
11550 10924 0 10924
11560 11545 0 11545
11570 9315 0 9315
11580 10564 0 10564
11590 9664 0 9664
11600 8904 0 8904
11610 9330 0 9330
11620 9087 0 9087
11630 9282 0 9282
11640 10215 0 10215
11650 9554 0 9554
11660 11325 0 11325
11670 9204 0 9204
11680 7098 0 7098
11690 5772 0 5772
11700 6196 0 6196
11710 4792 0 4792
11720 4824 0 4824
11730 4532 0 4532
11740 4654 0 4654
11750 5367 0 5367
11760 5127 0 5127
11770 4829 0 4829
11780 5131 0 5131
11790 5022 0 5022
11800 4899 0 4899
11810 4421 0 4421
11820 5148 0 5148
11830 5040 0 5040
11840 5050 0 5050
11850 4646 0 4646
11860 4631 0 4631
11870 4830 0 4830
11880 4520 0 4520
11890 4694 0 4694
11900 4912 0 4912
11910 4923 0 4923
11920 5105 0 5105
11930 4826 0 4826
11940 5534 0 5534
11950 5533 0 5533
11960 4695 0 4695
11970 5205 0 5205
11980 4778 0 4778
11990 5248 0 5248
12000 5131 0 5131
12010 4656 0 4656
12020 4687 0 4687
12030 4636 0 4636
12040 4934 0 4934
12050 4876 0 4876
12060 4863 0 4863
12070 5081 0 5081
12080 5173 0 5173
12090 5247 0 5247
12100 4911 0 4911
12110 5407 0 5407
12120 5236 0 5236
12130 5090 0 5090
12140 4859 0 4859
12150 4941 0 4941
12160 5154 0 5154
12170 5026 0 5026
12180 4756 0 4756
12190 5173 0 5173
12200 4938 0 4938
12210 4900 0 4900
12220 4978 0 4978
12230 5119 0 5119
12240 5073 0 5073
12250 5428 0 5428
12260 5167 0 5167
12270 5078 0 5078
12280 5297 0 5297
12290 5682 0 5682
12300 4452 0 4452
12310 5191 0 5191
12320 6047 0 6047
12330 4937 0 4937
12340 4890 0 4890
12350 5270 0 5270
12360 5158 0 5158
12370 4976 0 4976
12380 8999 0 8999
12390 6566 0 6566
12400 6650 0 6650
12410 5423 0 5423
12420 5202 0 5202
12430 5192 0 5192
12440 4930 0 4930
12450 5341 0 5341
12460 4731 0 4731
12470 4810 0 4810
12480 5184 0 5184
12490 4989 0 4989
12500 5127 0 5127
12510 4832 0 4832
12520 4802 0 4802
12530 4923 0 4923
12540 5030 0 5030
12550 5073 0 5073
12560 5910 0 5910
12570 5468 0 5468
12580 4925 0 4925
12590 5483 0 5483
12600 3730 0 3730
12610 5969 0 5969
12620 4082 0 4082
12630 6533 0 6533
12640 5475 0 5475
12650 7972 0 7972
12660 7142 0 7142
12670 5971 0 5971
12680 5640 0 5640
12690 4920 0 4920
12700 5078 0 5078
12710 7590 0 7590
12720 4380 0 4380
12730 4717 0 4717
12740 6168 0 6168
12750 5345 0 5345
12760 4770 0 4770
12770 7253 0 7253
12780 4624 0 4624
12790 6303 0 6303
12800 5421 0 5421
12810 6131 0 6131
12820 6227 0 6227
12830 5782 0 5782
